"estimator","variable","estimate","stderr","convergence","setup_id","sample_id","sigma","cutoff","u_dist","x_dist"
"tsgauss","sd_x",1.00117278020892,0.0330179486969985,0,1,37,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01637681741556,0.0321406570402625,0,1,37,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.159128629246657,0.0247526070997319,0,1,38,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0159836166354839,0.0433890212438073,0,1,38,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.95706930867198,0.0315283763737759,0,1,38,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.970208009783357,0.0306806711505433,0,1,38,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.179840866649496,0.0330751178061332,0,1,39,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.00516088642378829,0.0481512483693953,0,1,39,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.06156894380363,0.0347000986299062,0,1,39,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.07669464555444,0.0340480742445971,0,1,39,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.19769588536397,0.0285115978498392,0,1,40,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.00201454847542057,0.0449589857889653,0,1,40,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.985683285085198,0.03292302628764,0,1,40,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.00531348423573,0.031790803726647,0,1,40,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.196305434620298,0.0281000873607689,0,1,41,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0376012939034467,0.0461562691936014,0,1,41,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.01324467394338,0.0333493563148897,0,1,41,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.03208555504672,0.0326374109410673,0,1,41,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.203688715912859,0.0264932938294719,0,1,42,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.00152856021817456,0.0475340674908806,0,1,42,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.0431944656312,0.0346012747071348,0,1,42,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.06289406156672,0.0336116614601807,0,1,42,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.232968865720102,0.0293327769397609,0,1,43,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0268960237053972,0.0463832987700931,0,1,43,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.0106585526294,0.034452932825056,0,1,43,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.03716209070611,0.0327979450941345,0,1,43,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.146098826965438,0.0228410886040714,0,1,44,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0245192950374095,0.0452442976242381,0,1,44,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.00108859074242,0.0323867353598925,0,1,44,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01169325082029,0.0319925496601212,0,1,44,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.193952906240503,0.0325522482114033,0,1,45,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.00292772114904149,0.0447676405408951,0,1,45,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.982065725886135,0.0327704284149041,0,1,45,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.00103487441717,0.0316555022041888,0,1,45,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.199009653031057,0.0314880517544431,0,1,46,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0533727100727186,0.0459895033511578,0,1,46,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.00891643223982,0.033390656704471,0,1,46,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.02835655744643,0.0325194896830051,0,1,46,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.232294967646208,0.0268930879183733,0,1,47,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0752980035552757,0.0472058733459209,0,1,47,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.02967775890412,0.034343940345842,0,1,47,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.05555541738725,0.033379593154734,0,1,47,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.206266754418727,0.0220044124346242,0,1,48,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0043364292270744,0.0444532210448934,0,1,48,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.972367449401019,0.0327114141456366,0,1,48,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.99400424075206,0.0314331740464287,0,1,48,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.205207807935555,0.0270859538238769,0,1,49,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.03879144832201,0.0471906875089815,0,1,49,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.03507016638847,0.0346622056500564,0,1,49,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.05521585175033,0.0333688551464561,0,1,49,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.220929373704407,0.024408354548654,0,1,50,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.00700198435278885,0.0449362319021609,0,1,50,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.980215629653481,0.0329747033952965,0,1,50,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.00480469185926,0.0317747142989892,0,1,50,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.198517078929417,0.0336823395230581,0,1,51,0.2,1,"gauss","gauss"
